Priority,Tier,Cluster,Title,Slug,TargetKeyword,Intent,Words,Status,ScheduledDate,Notes
1,Tier1-Critical,Comparison,Atlan vs Collibra: Active Metadata vs Enterprise Governance (2026 Buyer's Guide),atlan-vs-collibra,atlan vs collibra,Commercial,5000,Queued,,Highest commercial intent comparison; Atlan ranks page-one for this query
2,Tier1-Critical,AI-Governance,AI Governance Framework: A Practitioner's Guide for the EU AI Act Era,ai-governance-framework,ai governance framework,Informational,5500,Queued,,EU AI Act enforcement Aug 2026; pillar page for AI governance cluster
3,Tier1-Critical,Comparison,Microsoft Purview vs Collibra: 2026 Enterprise Buyer's Guide,microsoft-purview-vs-collibra,microsoft purview vs collibra,Commercial,5000,Queued,,Azure-shop buyer query; underserved comparison
4,Tier1-Critical,Buyer-Guide,Best Data Catalog Tools 2026: 12 Platforms Compared by a Practitioner,best-data-catalog-tools-2026,best data catalog tools,Commercial,6000,Queued,,Compiled buyer's guide; Atlan dominates this query
5,Tier1-Critical,Buyer-Guide,Best Data Governance Platforms 2026: Honest Practitioner Comparison,best-data-governance-platforms-2026,best data governance platforms,Commercial,6000,Queued,,Refresh angle on existing market; high commercial intent
6,Tier1-Critical,Emerging,What Is Active Metadata? The Defining Shift in Data Governance for 2026,what-is-active-metadata,active metadata,Informational,5000,Queued,,Defining concept of modern catalog platforms; zero current coverage
7,Tier1-Critical,Emerging,Data Products and the Data Product Manager: Complete Guide for 2026,data-products-and-data-product-manager,data product manager,Informational,5500,Queued,,Mainstreaming role; pillar for data product cluster
8,Tier1-Critical,Comparison,Atlan vs Alation: Catalog Wars 2026 Edition,atlan-vs-alation,atlan vs alation,Commercial,5000,Queued,,Modern vs legacy catalog comparison
9,Tier1-Critical,Templates,Data Governance Charter Template (Free): Structure Used by Fortune 500 Programs,data-governance-charter-template,data governance charter template,Informational,4500,Queued,,Lead magnet; downloadable template
10,Tier1-Critical,Templates,Data Governance Policy Template: Free Practitioner-Reviewed Template (2026),data-governance-policy-template,data governance policy template,Informational,4500,Queued,,Lead magnet; complement to existing policy guide
11,Tier2-High,Emerging,Data Observability: The 2026 Practitioner's Guide,data-observability,data observability,Informational,5000,Queued,,Adjacent category; gap in current coverage
12,Tier2-High,AI-Governance,Agentic AI Governance: How to Govern AI Agents in 2026,agentic-ai-governance,agentic ai governance,Informational,5000,Queued,,First-mover topic; supports AI governance cluster
13,Tier2-High,Comparison,Informatica vs Atlan: Hybrid Enterprise vs Modern Active Metadata,informatica-vs-atlan,informatica vs atlan,Commercial,5000,Queued,,Hybrid-shop comparison
14,Tier2-High,Templates,RACI Matrix Template for Data Governance: Roles Mapped Across 30 Activities,raci-matrix-data-governance,raci matrix data governance,Informational,4000,Queued,,Lead magnet; complements roles disambiguation
15,Tier2-High,Templates,Data Governance Maturity Self-Assessment: 40-Point Practitioner Checklist,data-governance-maturity-assessment,data governance maturity assessment,Informational,4500,Queued,,Lead magnet; high engagement potential
16,Tier2-High,Templates,Business Glossary Template: Practitioner-Tested Format with Examples,business-glossary-template,business glossary template,Informational,4500,Queued,,Lead magnet; complements glossary post
17,Tier2-High,Buyer-Guide,Data Quality Tools 2026: Monte Carlo vs Bigeye vs Soda vs Great Expectations,data-quality-tools-2026,data quality tools,Commercial,5500,Queued,,Compiled comparison; growing category
18,Tier2-High,Buyer-Guide,Data Observability Tools 2026: Monte Carlo vs Bigeye vs Soda Compared,data-observability-tools-2026,data observability tools,Commercial,5500,Queued,,Compiled comparison
19,Tier2-High,How-To,How to Write a Data Governance Policy: Step-by-Step Practitioner Guide,how-to-write-data-governance-policy,how to write data governance policy,Informational,5000,Queued,,Different intent than existing policy guide
20,Tier2-High,How-To,How to Build a Business Glossary: 90-Day Implementation Playbook,how-to-build-business-glossary,how to build a business glossary,Informational,5000,Queued,,Pairs with business glossary template
21,Tier2-High,Emerging,Data Fabric vs Data Mesh: Architectural Patterns for 2026,data-fabric-vs-data-mesh,data fabric vs data mesh,Informational,5000,Queued,,Architectural comparison
22,Tier2-High,Emerging,Data Lakehouse: The Complete 2026 Architecture Guide (Iceberg + Delta),data-lakehouse,data lakehouse,Informational,5500,Queued,,Modern architecture pattern
23,Tier2-High,Compliance,EU Data Act: What Data Governance Practitioners Need to Know (2026),eu-data-act-data-governance,eu data act,Informational,5000,Queued,,Effective Sep 2025; gap vs AI Act coverage
24,Tier2-High,Compliance,DORA Compliance: Data Governance Requirements for Financial Services 2026,dora-data-governance-compliance,dora compliance data governance,Informational,5000,Queued,,Financial services vertical; specific regulation
25,Tier3-Vertical,Industry,Data Governance in Insurance: Regulatory Compliance and Practical Implementation,data-governance-insurance,data governance insurance,Informational,5000,Queued,,Underserved vertical; NAIC regulatory hooks
26,Tier3-Vertical,Industry,Data Governance in Pharmaceuticals and Life Sciences: GxP and 21 CFR Part 11,data-governance-pharma,data governance pharmaceutical,Informational,5000,Queued,,High-spend vertical
27,Tier3-Vertical,Industry,Data Governance in Retail and E-commerce: Customer 360 and PCI-DSS,data-governance-retail,data governance retail,Informational,5000,Queued,,Customer data heavy vertical
28,Tier3-Vertical,Industry,Data Governance in Government: FedRAMP, Records Management, and Public Sector Realities,data-governance-government,data governance government,Informational,5000,Queued,,Public sector; long sales cycle but high value
29,Tier3-Vertical,Industry,Data Governance in Manufacturing: Supply Chain Data and IoT,data-governance-manufacturing,data governance manufacturing,Informational,5000,Queued,,Industrial vertical
30,Tier3-Vertical,Industry,Data Governance in Higher Education: FERPA Compliance and Student Data,data-governance-higher-education,data governance higher education,Informational,4500,Queued,,Niche but underserved
31,Tier3-HowTo,How-To,How to Run a Data Governance Committee: Agendas Cadence and KPIs,how-to-run-data-governance-committee,how to run data governance committee,Informational,4500,Queued,,Operational playbook
32,Tier3-HowTo,How-To,How to Measure Data Governance ROI: Framework and Calculator,how-to-measure-data-governance-roi,data governance roi,Informational,4500,Queued,,Executive-pitch content
